,Review Title,Review Rating,Review Content
10,Well worth the purchase price.,5,"Not counting the Plantronic Voyager 5200-UC softphone headset I just ordered, these Hammerheads put me at 6 pairs of earbuds I now own (purchased variously over the last two and a half years.TLDR; These sound VERY good, are very comfortable, and have already become my go-to everyday earbuds.  If you like music, and you like the more ""open-air"" in-ear style of earbud, these are a great purchase.Here my thoughts, working from the newest to the oldest earbuds I own, but, saving the Razers for last:(1) Wireless Earbuds,Tepoinn Smart Touch TWS Bluetooth Earphones IPX5 30 Hours Playtime in Ear Stereo Bluetooth 5.0 Earphones with Rechargeable Cases & Built-in Mic Wireless Earphones,  $38, free Prime shipping:Same basic style as these Hammerheads.  Poor sound quality.  This was why I immediately turned around and bought these Hammerheads.  I do still use them to listen to the news playing on my television in the mornings while I am getting ready for work.  How good does the news have to sound?  Handy.  Can walk around three floors of my really small townhouse without the audio cutting out.  Don't have to re-pair my other wireless buds back and forth from the television to my phone and/or computer all the time.  These are paired and connect right out of the charging case.  Can use one earbud, either left or right, at a time.(2) TREBLAB xFit - Truly Wireless Earbuds of 2019 - True HD Sound Bluetooth 5.0 - Super Light, Premium Design, Best Sports Headphones for Workout & Running, Waterproof IPX6, Noise Cancelling (Renewed), #31.93 with shipping:Very small.  I like that.  Out of the box, the right earbud was defective -- muffled.  Disappointing.  That said, the left earbud sounded very good -- very clear and detailed soundstage throughout the bandwidth.  Sent an email to the company and without any pushback, they offered to replace them.  Just got the email telling me the replacements have been shipped, exactly one week from the day I first reached out to them.  The Customer support staff (Marina) was very professional and very eager to help and made the process, so far, painless.  Once they are received and tried out, they may very well replace my ""morning television"" buds -- especially if the sound is good enough for watching movies as well as the news.  Given the quality of sound as I was able to discern of the left earbud, I do have high hopes.  All of the benefits (but one; specifically, these are the silicone sound-isolating earbuds, which I'll talk about more in the next section) but with much better sound quality. Other than that, I can't really go into any detail regarding the sound quality of these compared to all the rest until I get a non-defective set to listen to.Edit (04/12/20): 5 star customer service.  Unfortunately, the small size, which is originally what drew me to these, has become a problem.  When I first place them in my ears, they fit snugly enough, but, over time, they begin to slide out, as the earbud tips are all that hold them in place.  Once they start sliding out, I have to fuss with them to get them seated correctly again, but again, and more quickly, they start to slide out again.  Maybe if they placed those little wings on the earbud tips that cradle the earbud into the frame of the outer ear, they would hold their place better.  Decent sound, but poor fit make them bothersome to me.(3) Wireless Headphones, AUKEY Key Series B80 Earbuds, Hybrid Driver, aptX Low Latency, High Fidelity Sound, IPX6 Water-Resistance, 8H Playtime and in-line Mic, $104.98, free Prime shipping:This is one of three sets, all vying for my top spot for various reasons.The sound quality of these earbuds are possibly my favorite, except the bass is a touch too ""present"".  Not muddy or overpowering, but compared to the next two sets, the bass simply does not sound natural in conjunction with the rest of the bandwidth.  I can, of course, adjust the equalizer on my phone to tone down the bass response -- I just hate having to readjust my equalizer depending on which earbuds I am using.  I prefer not to engage the equalizer at all, ever, if I can help it.  That said, the highs through the lower mids are absolutely fantastic.  Very clear and natural sounding with great separation of instrumentation and of vocals (a touch better than the next two, for the reason I will go into now,).  This set of earbuds is also of the style with silicone or foam earbud tips (both silicone and foam were included in this set) that sit inside the ear canal and seal.  It should be obvious how this style of earbud improves the quality of the sound, but it is also why the bass becomes so prominent -- unless you do not procure the correct fit and seal, at which point the bass disintegrates or becomes very weak (an issue with ANY sound isolating earbuds).  This style of earbud is what they refer to as ""sound isolating"" -- and this is just not something that I prefer in general.  Even without the music playing, these are like wearing earplugs -- you simply do not hear (or, at least, barely hear) anything going on around you.  There are times when this is nice -- when you are specifically wanting to do nothing but listen completely to your music.  And during these times -- after ruefully adjusting my equalizer accordingly -- these produce my favorite soundstage.  One other complaint about these, though, is they are of the style where, although ""wireless"" bluetooth, the two buds are connected to each other by a wire.  This also means they are inconvient to remove one bud and leave the other in -- for instance, when you are trying to have a conversation with someone, or otherwise want to hear what's going on in the environment. Hence, these, for me, are special use earbuds only -- as I said, when I want to do nothing but wholely listen to my music. And, unfortunately, the opportunity for these times tend to be too rare indeed.(4) Bose wired in-Ear Headphones/Earphones (was on my 2018 Christmas list; currently $148 with free shipping):The second set of three, vying for the top spot.Some people love Bose, some hate them.  I like them.  I find them to be the most natural-sounding across the bandwidth, though, with these being the more ""open air"" in-ear headphones, they do lose just a touch of the sound separation of the Aukey earbuds. But, as I've said, I prefer this style of headset over the ""sound isolating"" foam tip earbuds for everyday use.  That loss of separation, as well as them be a wired headset, is what keeps these from being my number one.  I have, on more than a few occaisions, found myself listening to music on my laptop, and putting of getting up and walking around, you know, to eat or go the bathroom, because I'd have to disconnect from my music (and, no, I'm not going to carry my laptop everywhere around the house with me.)  I used to have a DAC headphone amplifier, and I do wonder, if I were to replace that now, would that bring back the separation I'm missing -- but this, and them being wired, would still leave these as being, also, special use headphones only.(5) Photive TWS-01 True Wireless Earbuds Stereo Bluetooth Headphones with Charging Case. Premium Sound - Secure Fit - Easy to Pair, $39.95:These are my oldest pair, purchased Dec. 31, 2017.  I loved them when I got them.  My first set of ""truly wireless earbuds.""  Sound isolating silicone (improved sound with the purchase of Comply foam earbud tips).  But, listening to them now (which I still try to do periodically) the highs come in a little harsh.  Could be that I didn't notice it as much before I started listening to better headsets, or could be that they are just getting old.  The upper-mid to lower bandwidth is very good, but the harshness at the upper end have made these practically unlistenable to me. Especially given that I have so many other options to choose from. I think, though, that it may be their age, because, again, when I got them, I was very impressed with the sound of these, especially at this price point.Now, all this to put into perspective the point you've all been waiting for.Razer Hammerhead True Wireless Bluetooth Earbuds: Low-Latency - Water Resistant - Bluetooth 5.0 Auto Pairing - Classic Black, $99.99, free prime shipping.I thought it was crazy, but I ordered these on a Monday (3/27/2020) and they arrived the very next day.  That was cool.  Sound quality, just slightly less volume than my Bose (considering the Bose are wired, that is only to be expected, but the higher volume listening, of course, will also drain my phone battery quicker).  Being the ""open-air"" in-ear style that I prefer, they also lose some of the separation experienced with the Aukey, and being ""truely wireless"" I am more limited as to what style of DAC amplifier I can use (has to be, itself, bluetooth and kept with my phone, which would lessen the convenience factor. But these do compete very favorably the Bose. Very favorably.  And seeing as how I have only had these for a week now, they've not really completely ""broken in"", which opens up the soundstage of any headset, which gives me even higher hopes for their future sound quality.  The only other downside is the same for the whole wireless category of headsets -- as I am finishing typing this out, I am being prompted, ""low battery"".  Guess I have to put these away now, and dig my Bose back out pretty quick.  Oh, and I do also want to mention -- low latnecy.  Very nice.  And, oddly enough, not necessarily a common feature in the higher-end truly wireless earbuds.All that said, these Razer Hammerhead are now my go-to everyday buds, without hesitation or regret.  Which, aside from ""special use"", I guess make these my number one.I am very happy with this purchase and would recommend these to anyone.Of course, everyone is different, and have different tolerances, preferences, and different musical and auditory experiences.  And these are just mine.Maybe, if one day, I have it in me to buy the $250 Apple AirPods Pro, I'll see what that is all about. I do like the idea of the silicone sound-isolation and Active Noise Cancelation, combined with its Transparency mode (the best of both worlds?), but, $250?  Unfortunately, I'm too poor and broke to see that happening anytime soon."
11,Good quality sound with some interesting and almost poor design choices.,3,"I've gone through about 3 bluetooth earbuds this month, mind of testing some out. Two of them being 30 dollar pairs and this one being 100. So I'll kind of go over comparing these to cheaper alternatives.Pros:Good sound quality compared to cheaper designs. There are nice highs and solid bass. They aren't as bassy as some might prefer but the sound quality is definitely not lacking.Very easy and intuitive pairing compared to some. You don't have to pair each earbud or do any janky swapping to use only one earbud at a time, you just open the case up, pair them and then you're good to go for either side.Easy control scheme, first set that I didn't have to read the manual to figure out how to switch songs. (some BTs use some weird control schemes)Slim case that doesn't feel like a burden to carry in my pocket.The passive noise cancelation is nice and helps block out some of the noise. There are definitely better noise canceling headphones but these aren't awful for the price.Cons:Terrible button for controls. Idk why they decided to use a touch control on the earbuds with no feedback. Often I find myself having to continuously feel for the sweet spot to be able to pause or unpause my songs.Lower battery life. 3 hour life with only 12 hour charging from the case. (but that's probably because of the smaller casing)No RGB. Like come on Razer.Terrible connection when put in my pocket. Can't even walk around with my phone in pocket without losing all connection.So-So:The gaming mode has only made a slight change in the games I've tested. I know that's the main draw of these, so I was kind of bummed to find that it really only helped in certain games and didn't seem like it made all that much of an impact. I could see a difference in Mario kart, but in COD: mobile there was barely any difference in latency. I'm not sure if its because of my phone or not though. I have to confirm if my phone has Bluetooth 5.0, which might be leading factor in why I get no benefit. If I can find a phone with 5.0 BT I'll probably update this.The design of the earbuds is kind of odd to me. If you don't like gummies you'll probably enjoy it more than me. However, if you have a small ear, you will not find these comfortable. They sit flush in your ear but I found them hard to stay in without a lot of adjusting and sometimes they started to hurt the cartlidge above my ear.Overall, I've enjoyed the sound quality and the easy of use they provide, but in terms of price to performance, there are definitely better and cheaper alternatives. The gaming mode in theory is a great idea, but if you don't have a 5.0 BT device, I'd avoid these. I like them enough for a 4 star review but if there was a 3.5 I'd probably put them there."
12,Decent True Wireless Headphones,4,"Good Stuff //-Decent battery life-Decent audio quality for music and calls [but don't expect heavy bass, lol]-Lightweight & sweat resistantBad Stuff //-Awkward tactile/button press controls = 'The headphones have an app to help with firmware updates, etc. Inside the app was tutorial for button presses to bring out voice assistant, pause/play track & skip...and I always get the timing wrong. It shouldn't be this clumsy to handle these few options.""-The case is cheaply made = ""I have been careful with it and it already has scratches and smudges. I wish they had opted for a rubberized or a matte look for the case. I would def use the included lanyard, as this little case is easy to misplace.""-Layout of headset case is weird = "" Left side houses the right ear and vice versa..what is wrong with right side with ride headset and vice versa...""Wished it had // [Maybe next version]-Noise Cancellation-Wireless Charging for the case-RGB on the headset and the case for fun/coolness-Small speaker on the case, so you can locate it with Razer app...."
13,Don't buy these,1,"I have had these for about 2 days now and they are already lost. I want to start out by saying that I take extremely good care of my hardware, buying something expensive matters to me so I always take the time to treat my electronics properly. That being said, if you drop these from standing height, the case is going to open when it hits the ground. Yesterday, I had a scare where the case fell out of my pocket and the buds went flying. I found them, but this time I wasn't so lucky. The awkwardly shaped case is prone to slipping out of my pocket, which it did, and the buds shot out again but I had no clue where they went. I am extremely disappointed and have now wasted $100 because a protective case couldn't do its job."
14,"Great headphones, but didn't deliver on the killer feature",2,"I'll be honest, I _want to like these headphones_. The audio is amazing, the headphones are comfortable, the battery life is good, the case charging them is great, the touch features are intuitive and everything is well with the world.Except for the 60 ms delay claim. That's why I bought these -- with the 3.5 mm headphone jack becoming an endangered species gaming on android in public with sound just hasn't been viable. Bluetooth audio lag is totally unacceptable for gaming. When I got these the first thing I did was pair them with my Razer phone 2 and fired up d-touch (a doom port) and there was no discernable difference between gaming mode and non gaming mode.Unfortunately I'm going to have to return these. I really do enjoy them for music and audio where a/v sync isn't important, but given they can't deliver the killer feature they promised, I kind of have to return them on principle and stick with my cheaper set of skull candies."
15,Sad face.,3,"Primary use: exercise, running primarily 1-2 hours at a timeDevices: Pixel 3 and Garmin 945Comparison: Airpods 2 and Airpods ProPros: similar form factor to Airpods (though not quite as comfortable), IPX rating (Airpods cut out when I sweat too much), reliable touch controls, quick pairing and subsequent connections, reliable connection but indoor only, usb-c chargingCons: sound was not as warm as Airpods, case feels flimsy, horrid connection while outsideConclusion: these would probably be fine if just used at your desk or inside while exercising. The sound is acceptable, pairing is quick and the application does what you need it to do. Once I started running outside, the sound began cutting out, then becoming garbled, then quit all together. Essentially they didn't meet my needs, but I'll probably keep them around for treadmill runs unless I find something better. Womp womp."
16,Excellent sound quality!!,5,"I absolutely love these earphones! They look great and they sound great! The 13mm drivers definitely deliver clean, clear, and crisp sound with deep satisfying bass! Pairing was easy and I like how they auto connect. The volume was kinda low at first which was really weird. The volume was maxed out on my phone and they barely got loud enough. I almost returned them but then I reconnected them and now they can get beyond loud enough. I listen to them set at 50%. It only happened the very first time I connected them. The connection is good. Only a few times where they started to cut out on me but most of the time it's a solid connection. They are very similar to airpods. They just sit in ur ear and don't actually go into the ear canal which is great becuz I can wear them for a lot longer without getting fatigue but then again becuz of their design they're not really noise isolating. I think that's a good thing tho becuz I like to where them at work and still be able to hear my co workers and customers around me. The case definitely isn't the greatest.. Honestly it feels kinda cheap and it scratches easily and it is very slick too. Also the right earbud goes on the left side which was weird at first but now I prefer the cross draw. The touch controls are capacitive which is okay but I prefer physical button. I have many headphones and these are one of my favorites due to the fact the sound quality is excellent! Totally worth it and highly recommended."
17,Affordable and Balanced Media Headphones,5,"I already have a pair of $350 Sony Noise cancelling headphones that I use during flights, but I was looking for something that I can simply wear during long walks that are sweat resistant.  These are the perfect complement to my iPhone 11 ProThese are not the best for just  Audio, but balanced more than enough to justify their price tag.1. Audio is good. 4/52. Sweat resistant3. The gaming more actually works pretty well. Low latency is amazing, even a plus when watching video. The audio actually matches the lips of the actors.4. Comfortable  during an hour walk. 4/5 and a good seal.5. Treble is good, nice details. Mids are good. Footsteps and gunshots are easy to hear. Not bass heavy. Mic is above average. Overall, extremely balanced."
18,Don't buy these it's a disappointment,1,This isn't worth near $100 this is literal crap feels like a Chinese clone. Connection is so bipolar I can have my phone 4 inches away and it will still disconnect within a minute after connecting. These headphones don't fit in your ear and they end up hurting your ears after like an hour of use and the gummies don't help at all they even make it worse since it's cheap. The charging case is also of the cheapest material it may look nice but once you have it in your hands you can tell on the spot. The quality of the sound is great so much more bass than airpods but most of the time you will just be listening to any song or audio just being butchered because of how bad the connection is. I love razer and their products but this seems as a cash grab.
19,Gaming Mode isn't good enough,2,"I bought these because my favorite game on Android is Thumper, which as a rythm game is extremely latency sensitive. i had been using a pair of galaxy buds occasionally and Thumper was unplayable with them compared to any of my wired buds.So i bought the Hammerhead True Wireless because they are advertised as having much lower latency. unfortunately, however lower the ""Gaming Mode"" latency is than the galaxy buds for instance it's still way too high latency. the audio cues in-game that are before actions on wired headphones are after the actions need to be done even in ""Gaming Mode"" on the Hammerhead True Wireless. They're just not good enough for gaming.connection drops do happen often enough that it's an annoyance but not often enough that I can't actually use them, and sometimes they can go hours without a hitch.As for sound quality, the mids are very forward in a fun sort of way, and the bass is surprisingly full for a non-sealed bud, but there's totally real pierce on the highs, and as for the bass, while it's not muddy at all it's boomy. and the slight quiet hiss many bt earbuds have is here too. not the worst i've heard, but not really good per se.my dissatisfaction isn't really about the sound quality, Razer isn't a audiophile company, the sound is fine for what it is, my disappointment is based on the fact that the reason i bought them, and the thing they are marketed on, being low enough latency for gaming, they just are not at all good enough at."
20,"Great price, decent sound quality, horrible microphone",3,"I purchased the Hammerhead True Wireless for a few key reasons.  I wanted no wires, at least 4 hours of music/talk time, and decent audio fidelity (as measured by airpods as a baseline).Likes:- No wires!- Decent sound quality for small earbuds, bass included. Sound slightly better than airpods, mids are fantastic, and bass is reasonable.- Plenty loud, go too loud in my opinion.- Battery life: I'm getting ~5 hours- Black color is nice alternative to the Apple white.- Comfortable enough- $99 price is attractiveWhat's OK:- Touch controls.  nice to have them but they are also finicky.  At times i experience delayed response to touch input. Play/pause isn't just a tap, there is a required dwell time so it's more like touch and hold for 1 sec vs. Tap to pause.  I end up fumbling with it when i want to pause and end up skipping tracks.  Muscle memory should help over time.-  Did some research on gaming mode and sounds like more of a gimmick.  Haven't tried it yet personally so jury is still out.Dislikes:- Plastic for the case and earbuds is below typical Razer quality.  Looks cheap, feels cheap. I expected at least the charging case to be anodized aluminum.- Don't always stay in my ears well because the cheap plastic is slippery. They are slightly textured in comparison to Airpods smooth premium plastic. Its counter-intuitive but the smoother airpod plastic grabs and stays put much better.- Microphone is virtually useless.  On test calls and test audio recordings the mic picked up background noise better than my voice.  TV on low  in the background, 10 feet away, and you could hear the broadcast word for word while my voice wasn't always clear. There is no way i could take a phone call in a noisy environment or attempt to use these for conference calls.  If this is a ""for gamers, by gamers"" product they obviously didn't test this in a live voice chat scenario.  During PC gaming the mic would pick up each keystroke and mouse click. Hoping they push a firmware update to address the poor mic quality. if not, i'll probably have to return and stick with the pixel buds which have great sound quality, battery life, and a stupid cord."
21,Any sudden moves and they fall right out of your ears.,2,"The silicone sleeves that come in the box do nothing. I wanted a pair of earbuds to run in. The second I started running, the left earbud flew off my head. After it skidded across a length of road, the plastic had a few ugly nicks in it. I popped it back in and made sure it was situated nice and snug, and then took off running again and the right earbud fell out. This time I was expecting it, so I caught it and then carefully walked back to my house to get a beanie to pull over my ears so these headphones would stay in. Before getting that beanie out of my closet I wrote this review, during which time one earbud or the other would start falling out of my ear if I swallowed or moved my jaw in a certain way. That wasn't a joke, it literally happened. It's a shame, because I wanted to like these. They both look and sound fine, which is more than you can say for 90% of the other wireless earbuds out there right now. And before you write off this review because you think my ears are enormous, I've been wearing wired earbuds my whole life without a problem. Unfortunately, these earbuds are just not quite good enough. Maybe they'll get it right if they make Hammerheads 2."
22,Enjoying the  Hammerheads....But!!!,5,So far enjoying them I wish there was a volume for the headphones on themselves it fits my ears pretty good hey don't fall off they feel pretty secure and come with this two little rubber tips sleeves in case you want to put them on the headphones to Fill more secure but so far  they sound good but I did notice that they don't sound too loud on my LG thin Q7 phone but they sound a lot more louder on my old Samsung Galaxy Edge 7 phone but overall they sound good in both phones
23,Could have been great,2,"I got these in hopes of finding a wireless earbud solution for my Twitch stream so that I would have the option to wear a hat or just not getting headset hair from my Arctis Pro Wireless. I wanted a pair of earbuds that were wireless and low latency so that I could still play games without the massive delay that bluetooth usually comes with. I had hoped that the so called ""Gaming Mode"" on these would do the trick. Sadly I can say it does not. I bought these and another pair of APTX LL earbuds to see if either would work for my needs and then compared the latency of the Razer in both Gaming and non-gaming modes to the APTX LL model as well as a baseline from my Arctis. The APTX LL earbuds were only 22ms slower than my Arctis which wasn't too bad honestly but then the Razer IN ""Gaming Mode"" were 82ms slower than my Arctis! Even if the latency had been acceptable the 4 hour max battery life is just too short for most streams anyway so all-in-all these are a big no for me."
24,Good First Try for Razer on TWS Earphones,4,"For the style of earphones, I know these will leak sound in so noise cancellation is nonexistent in this case. Compared to other headphones with this style, I love the sound and and it’s louder than most of the other ones with good bass. The case lid felt wobbly at sliding it with my finger but the whole thing itself is durable since I dropped it twice and I had no issues with it. Battery life needs improvement and I wish there were volumes controls on the earbuds. I also think that the wrist strap should be a little bit bigger so that it fits more hands. Single tap is a bit too long. I think it should be a half second faster but double and triple taps are completely perfect."
25,Best Bluetooth headphones I’ve ever owned!,5,"When I saw these headphones be unveiled by Razer I immediately knew I wanted them. Finally purchased as a birthday present. I have to admit I was going off the brand name when I bought them and didn’t take the time to read reviews beforehand. I read many reviews in each rating bracket and was still confident that I made a good purchase.Design: these have a similar design to AirPods or any Apple headphone which I like because they fit inside my ears the best. My wife has some Skull Candy headphones that I have to push deep into my ears and I do not enjoy that. I will say the touch controls on the outside of the headphones are a little too sensitive. I’ve paused or restarted what I’m listening to because I put my finger on the touch control when removing the headphones.Battery: I’ve seen a 4 hour range from a few people and that’s about what I got out of them before I charged them for the first time.Sound: I saw MANY reviews saying these headphones weren’t loud enough for them. THESE ARE NOT NOISE CANCELING HEADPHONES!! I’m a mechanic and work in a loud shop so my hearing isn’t the best, but I can’t have the sound up more then 1/2 way up. It’s just too loud for me. You can download the app for these headphones and adjust the sound on there. The sound quality is outstanding as well. I haven’t tried the gaming mode as I don’t play too many video games anymore. There is also no 1 second lag between video and sound when you watch a video on YouTube or Disney+. It’s crisp and clear.Bluetooth: easy to set up with an iPhone. I also saw many reviews saying the headphones would disconnect or cut in and out of their phone was in their pocket. I’ve had zero problems with that. I left my phone in my room and walked to the other side of my house and they were still connected. So the range is very good, the app says the range is good for 10 meters or about 30 feet. I’d say that is correct.Overall I am very happy and satisfied with this purchase! $99 is a great price for this product. I’d gladly buy them again."
