,review rating,review title,review content
30,4,Decent True Wireless Headphones,"Good Stuff //-Decent battery life-Decent audio quality for music and calls [but don't expect heavy bass, lol]-Lightweight & sweat resistantBad Stuff //-Awkward tactile/button press controls = 'The headphones have an app to help with firmware updates, etc. Inside the app was tutorial for button presses to bring out voice assistant, pause/play track & skip...and I always get the timing wrong. It shouldn't be this clumsy to handle these few options.""-The case is cheaply made = ""I have been careful with it and it already has scratches and smudges. I wish they had opted for a rubberized or a matte look for the case. I would def use the included lanyard, as this little case is easy to misplace.""-Layout of headset case is weird = "" Left side houses the right ear and vice versa..what is wrong with right side with ride headset and vice versa...""Wished it had // [Maybe next version]-Noise Cancellation-Wireless Charging for the case-RGB on the headset and the case for fun/coolness-Small speaker on the case, so you can locate it with Razer app...."
31,2,Could have been great,"I got these in hopes of finding a wireless earbud solution for my Twitch stream so that I would have the option to wear a hat or just not getting headset hair from my Arctis Pro Wireless. I wanted a pair of earbuds that were wireless and low latency so that I could still play games without the massive delay that bluetooth usually comes with. I had hoped that the so called ""Gaming Mode"" on these would do the trick. Sadly I can say it does not. I bought these and another pair of APTX LL earbuds to see if either would work for my needs and then compared the latency of the Razer in both Gaming and non-gaming modes to the APTX LL model as well as a baseline from my Arctis. The APTX LL earbuds were only 22ms slower than my Arctis which wasn't too bad honestly but then the Razer IN ""Gaming Mode"" were 82ms slower than my Arctis! Even if the latency had been acceptable the 4 hour max battery life is just too short for most streams anyway so all-in-all these are a big no for me."
32,5,Best Bluetooth headphones I’ve ever owned!,"When I saw these headphones be unveiled by Razer I immediately knew I wanted them. Finally purchased as a birthday present. I have to admit I was going off the brand name when I bought them and didn’t take the time to read reviews beforehand. I read many reviews in each rating bracket and was still confident that I made a good purchase.Design: these have a similar design to AirPods or any Apple headphone which I like because they fit inside my ears the best. My wife has some Skull Candy headphones that I have to push deep into my ears and I do not enjoy that. I will say the touch controls on the outside of the headphones are a little too sensitive. I’ve paused or restarted what I’m listening to because I put my finger on the touch control when removing the headphones.Battery: I’ve seen a 4 hour range from a few people and that’s about what I got out of them before I charged them for the first time.Sound: I saw MANY reviews saying these headphones weren’t loud enough for them. THESE ARE NOT NOISE CANCELING HEADPHONES!! I’m a mechanic and work in a loud shop so my hearing isn’t the best, but I can’t have the sound up more then 1/2 way up. It’s just too loud for me. You can download the app for these headphones and adjust the sound on there. The sound quality is outstanding as well. I haven’t tried the gaming mode as I don’t play too many video games anymore. There is also no 1 second lag between video and sound when you watch a video on YouTube or Disney+. It’s crisp and clear.Bluetooth: easy to set up with an iPhone. I also saw many reviews saying the headphones would disconnect or cut in and out of their phone was in their pocket. I’ve had zero problems with that. I left my phone in my room and walked to the other side of my house and they were still connected. So the range is very good, the app says the range is good for 10 meters or about 30 feet. I’d say that is correct.Overall I am very happy and satisfied with this purchase! $99 is a great price for this product. I’d gladly buy them again."
33,3,Excellent sound without blocking you off from the world! Slight problem of multi-device support.,"Update to my original review:The inability to connect to multiple devices (phone, tablet, etc)  and seemlessly switch back and forth between them has proven to be quite a nuisance. Thes are great earbuds for sure, but if you are like me, and are constantly using multiple devices for work or otherwise, that is the one thing that might hold you back.Original Review:I have tried a number of solutions recently including Samsung Galaxy Buds, Anker Soundcore Liberty Air 2, Airpods (I had those for about a year). I personally like the form factor of Airpods, because of the ease of putting them in your ears and back in the case. The stem makes them easy to handle. I also think the stem design seems better for calls, getting the mic just a bit closer to your mouth. I also like earbuds without a silicone tip going in your ear. I realize the Airpods Pro might have resolved the vacuum effect, but literally all other earbuds that use a silicone tip make the vacuum effect happen. I know some like that for cutting out ambient noise, but I find it uncomfortable. I like hearing at leas a little bit of what's around me, and not feeling like my ears are plugged up. The Razer Hammerhead earbuds, in my opinion, offer the best of both worlds: easy to put in your ears quickly, and then back in the case (though the case lid is sometimes difficult to open with short nails), but great sound without plugging up your ears!The fit is also nice. I know this is a personal thing, but if you like how the original Airpods fit, then ad to that the fact that these earbuds also come with a silicone sleeve which can help fit bigger ears. I use the sleeve and find it comfortable but snug (the original Airpods did move around a bit for me, but weren't too bad).They connect VERY QUICKLY! As soon as you open the lid, they are already connecting, and I usually heare the ""connected"" notification before I actually have one of the buds in my ear!I rated ""Noise cancellation"" 4 stars in this review, because they don't have active cancellation, which I don't care about, but they do get super loud! I'm listening to most things at about 50% volume comfortably, whereas my Airpods were always jacked to 100% and still not as loud as 50% on these earbuds. Bass is good and everything is clear. I suggest using your phone's EQ setting rather than the Razer app. I know Samsung has great EQ settings now including a ""Custom"" option.Improvement suggestions: I'd like the option to change tap functionality. It's already great, but I'd like to be able to change it to my liking, and also allow for volume control. Also, I'd like to see quicker switching from one device to another. You currently need to turn off bluetooth on the currently connected device to switch to another. on Android I do that and then us a phenomenal app called ""Bluetooth Audio Device Widget - Connect, Volume"" to force connection on the other device. You can use it as a widget or even have a Quick Panel Tile for the same functionality. It's great!"
34,2,Headache Inducing Earphones,"I really wanted to like these. It was a great price and I've always been a fan of Razer products, but I absolutely could not get these to work.Pairing was fine and sound quality is pretty good. However, the controls on these things have a mind of their own. Play/pause on 1 tap almost never worked. Since the first try didn't work, I would try again but then this registered as 2 taps which skipped the song. Sometimes, even that didn't work and it would register as 3 taps, which would replay/go back! When I took 1 earphone out, touching the sides would trigger it to play/pause and I could not find the same spot that triggered it. It was just completely random.The issues were just way too much for me to ignore. I'm definitely returning these."
35,5,What I was looking for!,"As an Android and Chromebook user, I've been wanting an airpod like headset for some time. I've tried airpods as well as a couple like them (ticpods, soundcore, soundpeats), but they don't quite work as they should with my devices. The sound quality of the Hammerhead is much better than airpods, and the fit is about the same. I appreciate the silicone tips, which keep them seated in my ears while riding my bike. I use them for both my Pixel 3 and Pixelbook Go. The only downside is that the case's cover could be better. I've found that battery life is much longer than 3 hours. I've listened to music for much of the day at times, and never ran out of battery."
36,3,Good but not great.,"They're a good value for the price with some big downsides. If those dont bother you too much then they're fine.Pros:- Loud and clear until turned up all the way. Lots of bass. I usually keep them on the lowest volume level at work or when running.- Gaming mode works. It reduces latency by a large amount. It's not good enough for competitive gaming though. Casual is fine.Cons:- Battery life is bad compared to other earbuds in 2020. Gaming mode cuts it down to <3 hours. Normal mode gets between 3 and 5.- Connection is weak. It will cut out occasionally if left in my pants pocket.- Case feels flimsy- Equalizer app is mediocre. Bass mode makes them sound muddy. Treble mode makes them sound like they're playing through a pringles can.- Included silicon covers fall off easily after a few weeks. I lost one after a month.- Wrist strap is too small unless you're a 12 year old girl.- Touch controls are bad. They are very finicky to the point I try to avoid touching them except to activate gaming mode.- Default AAC codec.Things to consider:- There is no noise isolation. This isn't a pro or con depending on your needs and expectations.- The fit is almost the exact same as airpods. If those work well for you, these will too.These are decent earbuds if you listen to music or play games for short bursts. Do not expect long session from them. They work surprisingly well for workouts as long as you dont keep the phone in your pocket."
37,3,Not the AirPods Replacement I Hoped For...,"I recently switched from iOS to Android so I had to pick up a set of wireless earbuds that charge via USB C to replace my AirPods.The sound quality is outstanding. Way better than the Gen 1 AirPods. Seriously, they sound crazy good.The battery life kind of sucks, but I don't use them for super long periods of time so I don't really run into issues very often.I had high hopes for these, but they simply do not compare to the fit and finish of the AirPods. They aren't as comfortable or as well built. The case is kind of janky (when compared to AirPods) and the lid can pop open sending your buddy flying if you use the lanyard.I will be trying the upcoming Pixel Buds to see if those are a better fit for me."
38,5,"Everything you expect from a Razer product, and more.","The last earbuds I'll probably ever buy. They don't have the low end power I'd like but they have everything else. And they fit any ear. My left one keeps trying to fall out but that's my ears fault. Seemless pairing, no latency that I've noticed, never drop out, battery life is awesome and the charge case (though I'm convinced it was made backwards) charges quickly and charges the headphones quickly. All in all, everything and more that I expect from a Razer product. Honestly, only bought it through Amazon because I wanted them now. My phone's bought from the Razer website took almost 3 weeks. My earbuds were at my door in 2 days. Amazon, doing a good job. And Razer, keep up the good work."
39,3,65ms NOT GOOD ENOUGH!,"To be advertised as a gaming headset...  ...it better perform.  These DO NOT!!!Does it have less lag? Yes.  Is it good enough for PUBG mobile or COD?  NOOOOOOO!!!!!Until Qualcomm brings back Low Latency codec to Aptx, and then supports that in mobile devices, pleas le do not waste your time with wireless headphones.Curse Apple for starting the whole ""cut out the 3.5 jack"" campaign.  But curse Android markets even more for following suit and not listening to their customers.Rant over.lolSeriously, if you play some sort of RPG mobile game, you don't really need low latency anyways.  If you play FPS games, these will not be enough.Also, comfort.  For my ears, these were terrible.  Worst earbuds I've ever used. Sound volume sucked, base was abnormally muddy.These headphones are terrible even if they were $20, but  #&@+_;""+!,  they're FREAKING $100!!!No thanks."
40,4,Definetly with it,Just got started I'm very impressed with the product always am a fan of razer.ProsSound is quite wellGame-mode alternativeCase has a magnet for the cover and the earbuds. Plus comes with a lanyard.USB is nylon and has dust coversConsOnly one silicone earbud no extras with wing tipsCant control volume with earbuds only volume control with your phone or ext.Other then that very nice product.
41,4,They are on,Some times you have to disconnect and reconnect because the signal starts fading don't know if it's the phone or the earbudsBoth brand new razer phone 2 and hammerhead bought at the same time
42,2,Terrible bluetooth,At first i was so excited to get these thinking I could replace the airpods with these but they are so inconsistent! They cut off all the time for no reason ill put my phone in my pocket while listening to music and they cut in and out over and over again. They feel nice and sound good but thats only when they actually connect.
43,4,Good sound when they have a connection,"Easy to use and good sound when the connection doesn't fade out. It seems to happen when I'm outdoors and the Bluetooth signal can't bounce around to the earbuds. Even with my phone in my front pocket and in my hand while hiking/running, the signal fades out then returns when my hand is in front of me. Other than that they are great earbuds if yours going to be indoors and stationary when outdoors."
44,5,Really good Razer Earbuds!,"Best earbuds I've ever used, people complain about the battery life, but I personally never use them for more than 1-1/2 hour at a time so its great, the sound quality is really good, but not to the level of my Status Audio CB-1 that I got for $40 cheaper, but the convenience, comfort, & SUPER ease of use makes this an excellent set of earbuds for me"
45,2,"Short life, short Bluetooth range","The right ear bud just plain doesn't work while my phone is in my pocket anymore. I've had the earbuds for about a month now and about a week ago they worked great! No issues whatsoever. Now, all of a sudden, the right ear bud has a super low Bluetooth range. I've tried plugging everything in to make sure it wasn't the battery being low, but now that they're fully charged, it's the same issue. I can't walk around with my phone in my pocket and listen to music through both earbuds anymore. Pretty disappointing."
46,5,👍🏻👍🏻,"I found them to be more comfortable than I thought they would be, very light weight which helps. I saw people complain about them being cheap feeling, I didn't see this, but the weight almost makes you want to think this."
47,5,Same razer quality,"Update 1/1/2020 Firmware update + companion app with EQ presets are amazing. No joke with treble boost feels like i am cheating i can hear like i have comtacs on.I bought the original wired hammer heads and still have them, but decided to go wireless. Best choice by far the only problem i have is the battery life. From my experience so far after a hour work out and low latency use for about two to three hours of gaming has me in the yellow which is only half charge so it's not bad at all."
48,3,Disappointed!! 😕,"Razer you made me disappointed. Mediocre sound, I expected more from you. But unfortunately it was not so. I'm not one of the people who make bad comments, but $ 99 must have been worth it."
49,4,Good but could be better.,"I couldn't wait to get my hands on this one, and now I finally do. The first week I'm using this one for listening to music and gaming, it was fine. The sound quality is good tho it doesn't have noise cancellation. Battery life is awesome. But the one thing I'd say on this one is that it hurts my ears. Am I putting it on wrong? Does anyone have the same experience as well?"
